run_name,epoch,world_size,per_gpu_batch_size,global_batch_size,train_loss,test_loss,test_acc,epoch_time_sec,compute_time_sec,comm_time_sec,comm_fraction,throughput_samples_per_sec,lr,amp
resnet18_2gpu_bs128,1,2,128,256,2.795547,2.254998,0.1416,39.15721,35.365339,1.011984,0.025844,1276.904,0.19945218953682733,1
resnet18_2gpu_bs128,2,2,128,256,1.987276,1.806597,0.321,13.713361,10.8364,1.004262,0.073232,3646.079,0.19781476007338056,1
resnet18_2gpu_bs128,3,2,128,256,1.685557,1.622242,0.4046,13.70262,10.874054,0.942758,0.068801,3648.937,0.19510565162951535,1
resnet18_2gpu_bs128,4,2,128,256,1.427561,1.581442,0.4383,13.621243,10.802038,0.935095,0.06865,3670.737,0.19135454576426006,1
resnet18_2gpu_bs128,5,2,128,256,1.225198,1.557488,0.4784,13.623413,10.835257,0.904113,0.066365,3670.152,0.18660254037844387,1
resnet18_2gpu_bs128,6,2,128,256,1.029915,1.176953,0.6036,13.568622,10.707512,0.962839,0.070961,3684.973,0.18090169943749473,1
resnet18_2gpu_bs128,7,2,128,256,0.881388,1.136324,0.6218,13.671632,10.887319,0.949546,0.069454,3657.208,0.1743144825477394,1
resnet18_2gpu_bs128,8,2,128,256,0.756527,1.33114,0.5919,13.659649,10.820684,0.903485,0.066143,3660.416,0.1669130606358858,1
resnet18_2gpu_bs128,9,2,128,256,0.668615,0.954399,0.6957,13.651639,10.837887,0.924729,0.067738,3662.564,0.1587785252292473,1
resnet18_2gpu_bs128,10,2,128,256,0.591808,0.856659,0.7147,13.553897,10.754879,0.94649,0.069832,3688.976,0.14999999999999997,1
resnet18_2gpu_bs128,11,2,128,256,0.547332,0.850517,0.7176,13.507052,10.689093,0.923877,0.0684,3701.77,0.14067366430758002,1
resnet18_2gpu_bs128,12,2,128,256,0.49947,0.835815,0.7232,13.464996,10.744555,0.89479,0.066453,3713.332,0.13090169943749475,1
resnet18_2gpu_bs128,13,2,128,256,0.460792,0.604247,0.7979,13.561693,10.734046,0.906231,0.066823,3686.855,0.12079116908177592,1
resnet18_2gpu_bs128,14,2,128,256,0.431057,0.687358,0.7751,13.53416,10.675595,0.937525,0.069271,3694.356,0.11045284632676536,1
resnet18_2gpu_bs128,15,2,128,256,0.399807,0.542398,0.8151,13.592493,10.764716,0.910935,0.067018,3678.501,0.10000000000000002,1
resnet18_2gpu_bs128,16,2,128,256,0.371516,0.537779,0.8181,13.537349,10.775404,0.870841,0.064329,3693.485,0.08954715367323467,1
resnet18_2gpu_bs128,17,2,128,256,0.338322,0.468871,0.8459,13.580879,10.73831,0.93067,0.068528,3681.647,0.07920883091822406,1
resnet18_2gpu_bs128,18,2,128,256,0.318233,0.442386,0.8486,13.541479,10.828167,0.934555,0.069014,3692.359,0.06909830056250527,1
resnet18_2gpu_bs128,19,2,128,256,0.289936,0.49082,0.846,13.661157,10.883849,0.941364,0.068908,3660.012,0.05932633569242,1
resnet18_2gpu_bs128,20,2,128,256,0.257219,0.465612,0.8543,13.623034,10.878644,0.932257,0.068432,3670.254,0.050000000000000024,1
resnet18_2gpu_bs128,21,2,128,256,0.227897,0.390657,0.8754,13.486403,10.721516,0.887423,0.065801,3707.438,0.0412214747707527,1
resnet18_2gpu_bs128,22,2,128,256,0.201696,0.347571,0.8847,13.776814,10.901248,0.938111,0.068093,3629.286,0.033086939364114214,1
resnet18_2gpu_bs128,23,2,128,256,0.175937,0.387627,0.8811,13.861591,11.021172,0.94091,0.067879,3607.089,0.025685517452260602,1
resnet18_2gpu_bs128,24,2,128,256,0.146643,0.324078,0.8955,13.629447,10.822035,0.953865,0.069986,3668.528,0.01909830056250527,1
resnet18_2gpu_bs128,25,2,128,256,0.119001,0.29711,0.9072,13.707408,10.902366,0.925965,0.067552,3647.663,0.013397459621556133,1
resnet18_2gpu_bs128,26,2,128,256,0.0904,0.274299,0.9118,13.635836,10.776721,1.004154,0.073641,3666.809,0.008645454235739905,1
resnet18_2gpu_bs128,27,2,128,256,0.074565,0.266938,0.9171,13.79796,10.967219,0.95523,0.06923,3623.724,0.004894348370484648,1
resnet18_2gpu_bs128,28,2,128,256,0.059145,0.253796,0.9191,13.836962,10.975976,0.969653,0.070077,3613.51,0.0021852399266194316,1
resnet18_2gpu_bs128,29,2,128,256,0.047356,0.251324,0.922,13.972725,11.070524,0.91439,0.065441,3578.4,0.00054781046317266,1
resnet18_2gpu_bs128,30,2,128,256,0.046036,0.25143,0.9222,13.715074,10.906723,0.926235,0.067534,3645.624,0.0,1
